Lake Name,Date,Anuraeopsis fissa Gosse 1851,"Anuraeopsis navicula Rousselet, 1911",Ascomorpha ecaudas Perty 1850,Ascomorpha ovalis Bergendal 1892,Ascomorpha saltans Bartsch 1870,Asplanchna herricki De Guerne 1888,Asplanchna priodonta Gosse 1850,Cephalodella gibba Ehrbg. 1832,Collotheca mutabilis Hudson 1885,Collurella ucinata Muller 1773,Conochiloides dossaurius Hudson 1885,Conochilus unicornis Rousselet 1892,Encentrum species,Euchlanis pellucida Harring 1921,Filinia terminalis Platte 1886,Gastropus stylifer Imhoff 1891,Hexarthra mira Hudson 1871,Kellicottia bostonensis Rousselet 1892,Kellicottia longispina Kelicott 1879,Keratella cochlearis Gosse 1851,Keratella crassa Ahlstrom 1943,Keratella earlinae Ahlstrom 1943,Keratella hiemalis Carlin 1943,Keratella serrulata Rylov 1926,Keratella taurocephala Meyers 1938,Keratella tecta Gosse 1841,Lapdella sp,Lecane crepida  Harring 1914,Lecane flexilis Gosse 1886,Lecane luna Muller 1776,Lecane mira Murray 1913,Lecane mucronata Harring & Meyers 1926,Lecane species,Lecane tenuisetta  Harring 1914,lecane tudicola Harring & Meyers 1926,Manfredium eudactylotum Gosse 1886,Microcodon clavus,Monostyla closterocerca Schmarda 1895,Monostyla copeis Harring & Meyers 1926,Monostyla lunaris Ehrbg. 1882,Monostyla obtusa Murray 1913,Ploesoma truncatum Levander 1894,Polyarthra euryptera Wierzejski 1893,Polyarthra major Burckhardt 1900,Polyarthra remata Skorikov 1896,Polyarthra vulgaris Carlin 1943,remove,Synchaeta pectinata Ehrbg.  1892,Total Rotifers,Trichocerca cyclindrica Imhoff 1981,Trichocerca elongata Gosse 1886,Trichocerca insignis Herrick 1885,Trichocerca multicrinis Kelicott 1897,Trichocerca porcellus Gosse 1886,Trichocerca pusilla Jennings 1993,Trichocerca rousseleti Voight 1901,Trichocerca sp,"Trichotria tetractis tetractis (Ehrenberg, 1830) ",Unknown one toe
Big Moose,6/30/1994,0.00,0.00,0.00,0.00,6.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.87,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,60.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.92,0.00,0.00,0.00,44.92,0.00,0.00,121.96,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/25/1994,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,31.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,2.15,0.00,0.00,34.68,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/30/1994,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.43,0.00,0.00,72.34,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,6/20/1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,10.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/7/1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.44,0.00,0.00,77.58,0.00,0.00,0.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,9/12/1995,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.72,0.00,0.05,0.13,0.00,0.00,0.00,0.00,0.00,26.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,4.31,0.00,0.00,35.47,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,6/26/1996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,51.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,9.70,0.00,0.00,67.34,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/23/1996,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.50,0.00,0.00,0.00,0.00,7.56,0.00,53.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.87,0.00,0.00,71.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/20/1996,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.16,0.00,0.40,0.00,0.00,1.94,0.00,45.52,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,0.00,0.00,0.00,12.30,0.00,0.00,64.75,0.00,0.00,0.00,0.04,0.00,0.00,0.56,0.00,0.00,0.00
Big Moose,7/9/1997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,52.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,6.49,0.00,0.00,62.46,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/19/1997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,31.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,4.52,0.00,0.00,38.08,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/14/1998,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00,0.07,0.83,0.00,0.04,0.00,0.00,0.00,30.99,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,4.94,0.00,0.11,40.85,0.00,0.00,0.00,0.54,0.00,0.87,0.00,0.00,0.00,0.00
Big Moose,8/17/1998,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.19,0.00,0.19,1.95,0.00,0.05,0.00,0.00,0.00,43.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,12.05,0.00,0.05,63.90,0.00,0.00,0.00,0.52,0.00,1.19,0.00,0.00,0.00,0.00
Big Moose,6/30/1999,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,2.55,0.00,0.00,0.60,0.00,0.00,0.00,32.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.34,0.00,0.68,3.69,16.06,0.00,0.00,59.33,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/24/1999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.20,0.00,0.00,0.00,18.26,0.00,0.00,0.00,0.15,0.00,0.00,0.79,0.00,0.00,0.00
Big Moose,7/19/2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,12.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.00,3.70,0.00,0.89,0.00,0.00,21.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,8/23/2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,48.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,11.14,9.78,3.67,0.00,0.00,77.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
