lake Name,DATE,YEAR,COL #,Unknown cyclopoid Total,Unknown cyclopoid Adult,Cyclopoid Unknown-Immature,Cyclops scutifer Total,Cyclops scutifer Adult,Cyclops scutifer Immature,Tropocyclops extensus Total,Tropocyclops extensus Adult,Tropocyclops extensus Immature,Mesocyclops edax Total,Mesocyclops edax,Mesocyclops edax Immature,Orthocyclops modesti Total,Orthocyclops modesti Adults,Orthocyclops modesti Immature,Cyclopoid copepidids,CYCOPEP ,Leptodiaptomus minutus Total,Leptodiaptomus minutus,Leptodiaptomus minutus Immature,Aglaodiaptomus leptopus Total,Aglaodiaptomus leptopus Adult,Aglaodiaptomus leptopus Immature,Skistidiaptomus oregonensis-Adult,Skistidiaptomus oregonensis-Immature,Skistodiaptomus oregonensis Total,Skistodiaptomus oregonensis Adult,Skistodiaptomus oregonensis Immature,Epischura lacustris Total,Epischura lacustris Adult,Epischura lacustris Immature,Daphnia mendotae,Daphnia pulicaria,Daphnia retrocurva,Daphnia dubia,Daphnia catawba,Daphnia ambigua,Daphnia pulex,Daphnia parvula,Bosmina longirostris,Eubosmina ,Diaphanosoma brachyurum,Diaphanosoma bergei,Holopedium gibberum,Polyphemus pediculus,Ceriodaphnia quadrangular,Chydoris species,Leptodora kindti,Alona sp.,Sida crystallina,,
Big Moose,6/30/1994,1994,1,0.00,0.00,0.00,0.00,0.00,0.00,1037.96,932.41,105.56,369.44,263.89,105.56,0.00,0.00,0.00,0.00,0.00,27338.93,20460.22,6878.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1636.11,0.00,0.00,0.00,29291.71,0.00,0.00,0.00,0.00,193.52,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/25/1994,1994,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1952.52,1572.27,380.25,0.00,0.00,0.00,0.00,0.00,5170.68,4933.40,237.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1081.59,0.00,0.00,0.00,5957.15,0.00,14.46,0.00,0.00,14.46,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/30/1994,1994,3,0.00,0.00,0.00,0.00,0.00,0.00,230.30,159.44,70.86,956.63,301.16,655.47,0.00,0.00,0.00,0.00,0.00,13587.73,6979.88,6607.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4978.03,0.00,0.00,0.00,17.72,0.00,35.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,6/20/1995,1995,4,0.00,0.00,0.00,229.58,60.42,169.17,0.00,0.00,0.00,1341.25,567.92,773.33,0.00,0.00,0.00,0.00,0.00,17025.42,11817.50,5207.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.92,0.00,0.00,0.00,4507.08,0.00,0.00,0.00,0.00,12.08,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/7/1995,1995,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3780.00,2590.00,1190.00,0.00,0.00,0.00,0.00,0.00,63070.00,40600.00,22470.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3640.00,0.00,0.00,0.00,4970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,9/12/1995,1995,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1854.05,304.40,1549.65,0.00,0.00,0.00,0.00,0.00,11276.49,6835.07,4441.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1134.57,0.00,0.00,0.00,221.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,6/26/1996,1996,7,0.00,0.00,0.00,3187.86,2789.37,398.48,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,11556.00,7571.00,3985.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.83,0.00,0.00,0.00,22182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/23/1996,1996,8,0.00,0.00,0.00,2167.00,2167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5342.74,5342.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,453.63,0.00,0.00,0.00,23286.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,8/20/1996,1996,9,0.00,0.00,0.00,1182.80,940.86,241.94,0.00,0.00,0.00,1075.27,940.86,134.41,0.00,0.00,0.00,0.00,0.00,10483.87,10336.02,147.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1263.44,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Big Moose,7/9/1997,1997,10,0.00,0.00,0.00,414.81,100.81,314.00,0.00,0.00,0.00,1669.22,347.22,1322.00,0.00,0.00,0.00,0.00,0.00,3517.03,341.62,3175.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.20,0.00,0.00,0.00,5516.00,3114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
