Taxon Name,class
Achnanthidium sp. 1 ?,Diatoms (Bacillariophyta)
Actinastrum hantzschii Lagerheim,Green Algae (Chlorophyta)
Actinella punctata F.W. Lewis,Diatoms (Bacillariophyta)
Actinella punctata Lewis,Diatoms (Bacillariophyta)
Amphora sp.,Diatoms (Bacillariophyta)
Amphora sp. 1 ?,Diatoms (Bacillariophyta)
Anabaena flos-aquae (Linnaeus) Brébisson,Blue-Green Algae (Cyanobacteria)
Anabaena sp.,Blue-Green Algae (Cyanobacteria)
Anabaena sp. ,Blue-Green Algae (Cyanobacteria)
Ankistrodesmus convolutus Corda,Green Algae (Chlorophyta)
Ankistrodesmus falcatus (Corda) Ralfs,Green Algae (Chlorophyta)
Ankistrodesmus fractus W. West et G.S. West,Green Algae (Chlorophyta)
Ankistrodesmus fractus West et West,Green Algae (Chlorophyta)
Ankistrodesmus sp.,Green Algae (Chlorophyta)
Ankistrodesmus sp. 1 ANS FWA Adirondack,Green Algae (Chlorophyta)
Ankistrodesmus sp. 1 ANS FWA Adirondack ,Green Algae (Chlorophyta)
Anomoeoneis sp.,Diatoms (Bacillariophyta)
Anomoeoneis sp. 1 ? ,Diatoms (Bacillariophyta)
Aphanizomenon flos-aquae (Linnaeus) Ralfs,Blue-Green Algae (Cyanobacteria)
Aphanocapsa delicatissima West & West,Blue-Green Algae (Cyanobacteria)
Aphanocapsa elachista West & West,Blue-Green Algae (Cyanobacteria)
Aphanocapsa sp.,Blue-Green Algae (Cyanobacteria)
Aphanothece sp.,Blue-Green Algae (Cyanobacteria)
Arthrodesmus extensus Borge,Green Algae (Chlorophyta)
Arthrodesmus incus (Brébisson) Hassall,Green Algae (Chlorophyta)
Arthrodesmus octocornis Ehrenberg ex Archer,Green Algae (Chlorophyta)
Arthrodesmus sp.,Green Algae (Chlorophyta)
Arthrodesmus sp.,Green Algae (Chlorophyta)
Arthrodesmus subulatus Kützing,Green Algae (Chlorophyta)
Arthrodesmus tenuissimus Archer,Green Algae (Chlorophyta)
Arthrodesmus triangularis Lagerheim,Green Algae (Chlorophyta)
Asterionella formosa Hassal,Diatoms (Bacillariophyta)
Asterogloea sp.,Yellow-Green Algae (Chrysophyta)
Aulacoseira ambigua (Grunow in Van Heurck) Simonsen,Diatoms (Bacillariophyta)
Aulacoseira ambigua (Grunow) Simonsen,Diatoms (Bacillariophyta)
Aulacoseira distans (Ehrenberg) Simonsen,Diatoms (Bacillariophyta)
Aulacoseira granulata (Ehrenberg) Simonsen,Diatoms (Bacillariophyta)
Bambusina brebissonii Kützing,Green Algae (Chlorophyta)
Bambusina delicatissima Wolle,Green Algae (Chlorophyta)
Batrachospermum sp.,Red Algae (Rhodophyta)
Batrachospermum sp. ,Red Algae (Rhodophyta)
Bitrichia phaseolus,Yellow-Green Algae (Chrysophyta)
Bitrichia sp.,Yellow-Green Algae (Chrysophyta)
Botryococcus braunii Kützing,Green Algae (Chlorophyta)
Bulbochaete sp.,Green Algae (Chlorophyta)
Bulbochaete sp. ,Green Algae (Chlorophyta)
Bumilleria sp.,Yellow-Green Algae (Chrysophyta)
Bumilleria sp. ,Yellow-Green Algae (Chrysophyta)
Carteria sp.,Green Algae (Chlorophyta)
Carteria sp. ,Green Algae (Chlorophyta)
Ceratium carolinianum Jörgansen,Dinoflagellates (Pyrrhophyta)
Ceratium hirudinella (Möller) Dujardin,Dinoflagellates (Pyrrhophyta)
Ceratium hirudinella (O.F. Möller) Dujardin,Dinoflagellates (Pyrrhophyta)
