abstract,author,authoritativeMN,authorLastName,beginDate,"
",,blockedReplicationMN,changePermission,checksum,checksumAlgorithm,class,contactOrganization,datasource,dataUrl,dateModified,datePublished,dateUploaded,decade,documents,eastBoundCoord,edition,endDate,family,fileID,formatId,formatType,gcmdKeyword,genus,geoform,id,identifier,investigator,isDocumentedBy,isPublic,isSpatial,keyConcept,keywords,kingdom,LTERSite,namedLocation,noBoundingBox,northBoundCoord,numberReplicas,obsoletedBy,obsoletes,ogcUrl,order,origin,originator,parameter,phylum,placeKey,preferredReplicationMN,presentationCat,project,pubDate,purpose,readPermission,relatedOrganizations,replicaMN,replicationAllowed,replicaVerifiedDate,resourceMap,rightsHolder,scientificName,sensor,site,size,sku,source,southBoundCoord,species,submitter,term,title,topic,updateDate,webUrl,westBoundCoord,writePermission
"The purpose of this experiment is to measure how initially disturbing an area and adding nitrogen over a long time will affect the number of species, the type of species present, the amount of annual growth, and the change from year to year in the growth of each species in a plant community which is also relieved of grazing by large and small mammals. This experiment is conducted within fields (A, B, and C) which were initially low in soil nutrients. The ground was disturbed by thoroughly disking the area prior to establishment of the experiment. There are 8 different levels of nitrogen addition with other nutrients added to ensure that nitrogen remains the limiting nutrient, and a control which receives no nutrients. Nitrogen fertilizer (NH4NO3) is applied twice per year, once in early May and once in late June. There are six replicates of each treatment per field. The treatments were randomly assigned to plots of size 4 by 4 meters. The plots are in 6 plot by 9 plot grids with 1 meter aisles between plots. The plot grids are enclosed by a fence to keep out mammalian herbivores. Gophers are trapped and removed as they appear. In the spring of 1992, subexperiments E097 and E098 were established. E097 is in fields A and C where randomly selected plots within each treatment no longer receive fertilizer. E098 is in field B where randomly selected plots within each treatment are burned. Note that the design of E002 is similar to E001 except E002 was thoroughly disked prior to establishment.",David Tilman,urn:node:LTER,Tilman,1982-01-01T00:00:00Z,,,,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",6749820d30cec642b5b85aef3b879717,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-cdr.157002.122,2012-06-26T15:12:06.971Z,2012-04-24T00:00:00Z,2012-03-12T23:00:00Z,,,-93.16289,,2009-01-01T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-cdr.157002.122,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-cdr.157002.122,doi:10.6073/AA/knb-lter-cdr.157002.122,Tilman,,true,,,"carbon,ecology,ecosystems,nitrogen,nutrients,soil,species",,,,,45.44138,,doi:10.6073/AA/knb-lter-cdr.157002.123,doi:10.6073/AA/knb-lter-cdr.157002.121,,,David Tilman,,,,,,,,2012-04-24T00:00:00Z,,"public,uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,,,11138,doi:10.6073/AA/knb-lter-cdr.157002.122,,45.384865,,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,Soil carbon,,2012-03-12T23:00:00Z,,-93.22445,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org"
"Location
Lat. 39� 24' 49"", long. 76� 33' 11""
Directions

   1. 695 to Exit 29 Cromwell Bridge Rd towards Loch Raven High School
   2. Past Loch Raven high school
   3. Take the first entrance to the park - Sherwood House
   4. Follow entrance towards house
   5. Gauge is located just inside electric fence surrounding garden on left of road 

USGS Quadrangle - Towson
Potential Hazards - Electric Fence
Establishment - October 2001
Datum of Station - To be determined soon!
Equipment - J& S Tipping Bucket rain gauge with HOBO Data recorder 
History

    * 31 October 2001 Gauge is installed in public gardens just inside of electric fence
    * Window screening is installed around gauge to prevent organisms from occupying it. The screening is taped around outside of gauge and stapled to platform it sets on. Refer to pictures for further illustration. This has been done sometime after installation. 

Panorama - This gauge is in a relatively open field bounded by forest
Calibration Measurements -Calibration Measurements - Calibration of this gauge should be preformed as described in the users manual. Each bucket should hold 8.24 mL of water before tipping. This should occur five consecutive times. Adjust calibration screws as needed.
Extreme Events No extreme events have been observed at this station to date.
Winter Records - Rain gauge is not heated and is subject to freezing.
Accuracy - Data should be ran through a quality control algorithm before use.
Cooperation - Baltimore Ecosystem Study and University of Maryland, Baltimore County; Cromwell Valley Park, Baltimore County
Photographs - Print collections may be available. Contact the MD-DE-DC District Office about any collections in the official station records.    See Baltimore Ecosystem Study Meteorology Overview here: http://beslter.org/frame7-page_1p.html .","Peter Groffman ,     Email: groffmanp@caryinstitute.org, Gordon M. Heisler, gheisler@fs.fed.us",urn:node:LTER,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",eac9f2b24009fe84d369f442f26be0e9,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.449.43,2012-06-26T11:07:35.432Z,2010-01-07T00:00:00Z,2010-01-08T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.449.43,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.449.43,doi:10.6073/AA/knb-lter-bes.449.43,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.449.44,doi:10.6073/AA/knb-lter-bes.449.42,,,"Peter Groffman \,     Email: groffmanp@caryinstitute.org\, Gordon M. Heisler\, gheisler@fs.fed.us",,,,,,,,2010-01-07T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,6114,doi:10.6073/AA/knb-lter-bes.449.43,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,"Climate and Meteorology, Precipitation Data, Station Locations, Photographs, Equipment (USGS): Station: Rain Gauge at Cromwell Valley Park near Glen Arm, MD (CVPG) BES ID 449-",,2010-01-08T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"Surface water samples were collected during low tide survays near ten Georgia Coastal Ecosystem LTER sampling sites in May, 2004. The incorporation of tritiated leucine in unfiltered samples during one hour incubations was measured using a standard microcentrifuge method to estimate bacterial productivity in each sample. This study was part of the GCE-LTER hydrographic monitoring program, and will be repeated quarterly.",Robert E. Hodson,urn:node:LTER,Hodson,2004-05-27T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",8103a4742203609524b9a6b21e801701,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Georgia",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.272.21,2012-06-26T13:58:22.819Z,2005-01-01T00:00:00Z,2005-11-22T00:00:00Z,,,-81.208,,2004-05-31T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.272.21,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-gce.272.21,doi:10.6073/AA/knb-lter-gce.272.21,Hodson,,true,,,"Sapelo Island,Georgia,USA,GCE,LTER,Populations,bacteria,bacterial production,leucine,microbial ecology",,,,,31.54233,,doi:10.6073/AA/knb-lter-gce.272.22,doi:10.6073/AA/knb-lter-gce.272.20,,,"Georgia Coastal Ecosystems LTER Project,Robert E. Hodson",,,,,,,Georgia Coastal Ecosystems LTER Project,2005-01-01T00:00:00Z,,"public,uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,43827,doi:10.6073/AA/knb-lter-gce.272.21,,31.30663,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,May 2004 surface water bacterial productivity at ten Georgia Coastal Ecosystems LTER sampling sites,,2005-11-22T00:00:00Z,,-81.47462,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"The biomass of plants surveyed in permanent plots at 10 GCE LTER sampling sites in October 2004 was estimated based on allometric relationships between biomass and shoot height and flowering status derived for each site, zone, and species in October 2002. Biomass was only calculated for dominant species, including Spartina alterniflora, S. cynosuroides, Juncus roemerianus, and Zizaniopsis miliacea. This data set is based on GCE plant monitoring survey data set PLT-GCEM-0501a, and allometric relationships were based on GCE data set PLT-GCEM-0211b.",Steven C. Pennings,urn:node:LTER,Pennings,2004-10-22T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",4c6e921e7d65672eed570fea37cd86ae,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Houston",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.231.7,2012-06-26T13:44:52.489Z,2006-01-01T00:00:00Z,2005-07-27T23:00:00Z,,,-81.194084,,2004-10-25T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.231.7,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-gce.231.7,doi:10.6073/AA/knb-lter-gce.231.7,Pennings,,true,,,"Sapelo Island,Georgia,USA,GCE,LTER,Primary Production,biomass,flowering,Juncus Roemerianus,marsh,Panicum,plant ecology,Scirpus,shoot height,Spartina alterniflora,Spartina cynosuroides,Typha,Zizaniopsis miliacea",,,,,31.55025,,doi:10.6073/AA/knb-lter-gce.231.16,doi:10.6073/AA/knb-lter-gce.231.6,,,"Georgia Coastal Ecosystems LTER Project,Steven C. Pennings",,,,,,,Georgia Coastal Ecosystems LTER Project,2006-01-01T00:00:00Z,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org,public",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,43405,doi:10.6073/AA/knb-lter-gce.231.7,,31.303976,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,Fall 2004 plant monitoring survey -- biomass calculated from shoot height and flowering status of plants in permanent plots at GCE sampling sites 1-10,,2005-07-27T23:00:00Z,,-81.494225,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Process-based models of plant litter decomposition typically underestimate the rates of decomposition in arid and semi-arid grasslands. Recent research, including our field studies, suggests that photodegradation, the decomposition of material through solar radiation, may play an important role in arid and semi-arid grassland ecosystems. The contribution of photodegradation to overall rates of decomposition is not well understood or quantified. The goal of this project is to investigate the effects of ultraviolet radiation on rates of plant litter decomposition for two grass species, Andropogon gerardii and Bouteloua gracilis, in three grassland sites: Cedar Creek (MN), Shortgrass Steppe (CO), and Sevilleta (NM).",Leslie Brandt,urn:node:LTER,Brandt,2006-01-01T00:00:00Z,,,,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",a916ca856694b6ffab85236706b9ac98,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-cdr.166219.122,2013-03-08T16:53:40.334Z,2012-04-24T00:00:00Z,2012-05-06T23:00:00Z,,,-93.16289,,2008-01-01T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-cdr.166219.122,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-cdr.166219.122,doi:10.6073/AA/knb-lter-cdr.166219.122,Brandt,,true,,,"ecology,ecosystems,grasses,grasslands,litter,litter decomposition,radiation,species",,,,,45.44138,,knb-lter-cdr.166219.123,,,,Leslie Brandt,,,,,,,,2012-04-24T00:00:00Z,,"public,uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,,,12574,doi:10.6073/AA/knb-lter-cdr.166219.122,,45.384865,,"uid=CDR,o=LTER,dc=ecoinformatics,dc=org",,UV Litter Decomposition,,2012-05-06T23:00:00Z,,-93.22445,"uid=CDR\,o=lter\,dc=ecoinformatics\,dc=org"
"A quadrat survey was conducted in October 2003 to measure the species and size distribution of plants at 10 GCE LTER sampling sites.  The quadrats were established as permanent plots at GCE sampling sites in October 2000 by placing wooden stakes at random locations across two nominal zones at each site, designated based on marsh structure (creekbank and high marsh).  Several new plots were also added in October 2001, 2002 and 2003 to replace those lost due to catastrophic wrack disturbance or creek bank erosion.  The plots were visually surveyed and the species, shoot height, and flowering status was recorded individually for each shoot over 10 cm in height present in each plot.  Observations from plots exhibiting signs of disturbance were noted in the data set.  This survey will be repeated annually to assess changes in plant distribution and biomass in relation to environmental changes documented by other GCE LTER monitoring efforts.",Steven C. Pennings,urn:node:LTER,Pennings,2003-10-17T00:00:00Z,,,,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",614eead504d562bb0de01b1967945839,MD5,,"Georgia Coastal Ecosystems LTER Project,University of Houston",urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.178.18,2012-06-26T13:23:32.735Z,2004-01-01T00:00:00Z,2005-07-27T23:00:00Z,,,-81.19566,,2003-10-19T00:00:00Z,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-gce.178.18,eml://ecoinformatics.org/eml-2.1.0,METADATA,,,,doi:10.6073/AA/knb-lter-gce.178.18,doi:10.6073/AA/knb-lter-gce.178.18,Pennings,,true,,,"Georgia,Sapelo Island,USA,Juncus roemerianus,Panicum,plants,Scirpus,Spartina alterniflora,Spartina cynosuroides,Typha,Zizaniopsis miliacea,GCE,LTER,flowering,marshes,monitoring,permanent plots,plant communities,plant cover,plant ecology,primary productivity,shoot height,Primary Production",,,,,31.552553,,,doi:10.6073/AA/knb-lter-gce.178.17,,,"Georgia Coastal Ecosystems LTER Project,Steven C. Pennings",,,,,,,Georgia Coastal Ecosystems LTER Project,2004-01-01T00:00:00Z,,"public,uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,,,84877,doi:10.6073/AA/knb-lter-gce.178.18,,31.304064,,"uid=GCE,o=lter,dc=ecoinformatics,dc=org",,Fall 2003 plant monitoring survey -- shoot height and flowering status of plants in permanent plots at GCE sampling sites 1-10,,2005-07-27T23:00:00Z,,-81.4935,"uid=GCE\,o=lter\,dc=ecoinformatics\,dc=org"
"Permanent plots are a powerful tool for understanding systems over the long term because of the rigorous quantification of patterns in a spatially refined way and because of the comparability of numerous variables measured in the same place. In 1998, 7 plots were surveyed into 3 forests in the study region of the Baltimore Ecosystem Study (BES): Oregon Ridge Park (4 plots), Hillsdale Park (1 plot), and Leakin Park (2 plots). Plots were surveyed in to correct for slope and to achieve an accuracy of plot side length to within 0.5 cm. Plots are 1600 m2 with the exception of the Hillsdale plot which is 900 m2. The Hillsdale plot is smaller to fit within the confines of the forest patch. Sites were selected 1) to represent urban and non-urban forests, 2) away from obvious habitat boundaries or edges, 3) with consistent drainage lines within the plot, and 4) with at least 80 % continuous tree canopy. All vegetation layers were sampled in order to characterize the structure and composition of the plant community. A variety of sampling methods were used for the different layers but all layers were quantified with a high level of detail to minimize variation and to best characterize the plot.","M. L. Cadenasso, Cary Institute of Ecosystem Studies, Millbrook, New York
S.T.A. Pickett, Cary Institute of Ecosystem Studies, Millbrook, New York",urn:node:LTER,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",a52e8fa0ca250e3c1a2e8bbdbfc5c3e5,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.520.37,2012-06-26T10:38:39.41Z,2003-03-01T00:00:00Z,2010-03-06T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.520.37,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.520.37,doi:10.6073/AA/knb-lter-bes.520.37,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,true,,,"Environmental\, vegetation\, urban ecology\, riparian\, biodiversity\, baltimore\, riparian vegetation\, rural-urban gradient\, hydrology\, exotics\, diversity,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.520.38,doi:10.6073/AA/knb-lter-bes.520.36,,,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,,,,2003-03-01T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,5458,doi:10.6073/AA/knb-lter-bes.520.37,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,Vegetation - Permanent Plots - Saplings BES ID 520-,,2010-03-06T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
CUAHSI Water Data Service for Baltimore Waters Test Bed Ground Water Level Data,Michael McGuire,urn:node:LTER,Michael McGuire,,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",8f780091775313bab0a0404b251e5a89,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.481.37,2012-06-26T11:34:42.234Z,2010-01-26T00:00:00Z,2010-02-05T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.481.37,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.481.37,doi:10.6073/AA/knb-lter-bes.481.37,Michael McGuire,,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.481.38,doi:10.6073/AA/knb-lter-bes.481.36,,,Michael McGuire,,,,,,,,2010-01-26T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,4138,doi:10.6073/AA/knb-lter-bes.481.37,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,Baltimore Waters Test Bed Ground Water Level Data BES ID 481-,,2010-02-05T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
CUAHSI Water Data Service for Baltimore Ecosystem Study Precipitation Data,Michael McGuire,urn:node:LTER,Michael McGuire,,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",e805bc6d81281a3bcefb18a819936ed1,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.478.48,2012-06-26T11:32:02.833Z,2010-01-26T00:00:00Z,2010-02-05T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.478.48,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.478.48,doi:10.6073/AA/knb-lter-bes.478.48,Michael McGuire,,true,,,"atmospheric science\,  ecology\,  air pollution\,  rainfall\,  gauge\,  rain,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.478.49,doi:10.6073/AA/knb-lter-bes.478.47,,,Michael McGuire,,,,,,,,2010-01-26T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,4156,doi:10.6073/AA/knb-lter-bes.478.48,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,CUAHSI Water Data Service: Baltimore Ecosystem Study Precipitation Data BES ID 478-,,2010-02-05T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
"Permanent plots are a powerful tool for understanding systems over the long term because of the rigorous quantification of patterns in a spatially refined way and because of the comparability of numerous variables measured in the same place. In 1998, 7 plots were surveyed into 3 forests in the study region of the Baltimore Ecosystem Study (BES): Oregon Ridge Park (4 plots), Hillsdale Park (1 plot), and Leakin Park (2 plots). Plots were surveyed in to correct for slope and to achieve an accuracy of plot side length to within 0.5 cm. Plots are 1600 m2 with the exception of the Hillsdale plot which is 900 m2. The Hillsdale plot is smaller to fit within the confines of the forest patch. Sites were selected 1) to represent urban and non-urban forests, 2) away from obvious habitat boundaries or edges, 3) with consistent drainage lines within the plot, and 4) with at least 80 % continuous tree canopy. All vegetation layers were sampled in order to characterize the structure and composition of the plant community. A variety of sampling methods were used for the different layers but all layers were quantified with a high level of detail to minimize variation and to best characterize the plot.","M. L. Cadenasso, Cary Institute of Ecosystem Studies, Millbrook, New York
S.T.A. Pickett, Cary Institute of Ecosystem Studies, Millbrook, New York",urn:node:LTER,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",b67c92058b7885590e0d3984fb83733b,MD5,,,urn:node:LTER,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.522.42,2012-06-26T10:27:12.51Z,2003-03-01T00:00:00Z,2010-03-06T00:00:00Z,,,-76.01201,,,,https://cn.dataone.org/cn/v1/resolve/doi%3A10.6073%2FAA%2Fknb-lter-bes.522.42,eml://ecoinformatics.org/eml-2.0.1,METADATA,,,,doi:10.6073/AA/knb-lter-bes.522.42,doi:10.6073/AA/knb-lter-bes.522.42,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,true,,,"Environmental\, vegetation\, urban ecology\, riparian\, biodiversity\, baltimore\, riparian vegetation\, rural-urban gradient\, hydrology\, exotics\, diversity,Baltimore\, MD\, Washington\, D.C\, Chesapeake Bay\, Baltimore-Washington\, Maryland",,,,,39.724846,,doi:10.6073/AA/knb-lter-bes.522.43,doi:10.6073/AA/knb-lter-bes.522.41,,,"M. L. Cadenasso\, Cary Institute of Ecosystem Studies\, Millbrook\, New York\nS.T.A. Pickett\, Cary Institute of Ecosystem Studies\, Millbrook\, New York",,,,,,,,2003-03-01T00:00:00Z,,"public,uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org",,"urn:node:LTER,urn:node:CN",false,"2012-06-26T00:00:00Z,2012-06-26T00:00:00Z",,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,,,5479,doi:10.6073/AA/knb-lter-bes.522.42,,38.708366,,"uid=BES,o=LTER,dc=ecoinformatics,dc=org",,Vegetation - Permanent Plots - Woody Vegetation Height BES ID 522-,,2010-03-06T00:00:00Z,,-77.314186,"uid=""BES""\,o=lter\,dc=ecoinformatics\,dc=org"
